Transaction_ID,User_ID,Transfer_Type,Amount,Date,Payment_Status,Reason
MTX_FF98E6391AFB,PP0044966,To Self Account,4481.04,2024-06-12,Successful,Successful
MTX_C8BF19073AAB,PP1064275,To QR Code,1740.64,2024-01-21,Successful,Successful
MTX_F1DFE0CEC81A,PP0003843,To UPI ID,3528.61,2024-10-08,Successful,Successful
MTX_292FCBE2D9CF,PP0021003,To UPI ID,4957.23,2024-08-06,Successful,Successful
MTX_6794C8714701,PP1078581,To UPI ID,1116.33,2024-12-19,Successful,Successful
MTX_B9ACB90E5754,PP0013124,To UPI ID,3429.96,2024-04-12,Successful,Successful
MTX_7A397616394C,PP0001570,To Self Account,2752.46,2024-05-11,Successful,Successful
MTX_DB44E0CBEE18,PP1067570,To Self Account,3735.39,2024-06-18,Failed,Server error
MTX_F07E4C77E4DC,PP1092280,To Self Account,3030.29,2024-07-27,Successful,Successful
MTX_64B87D72AC61,PP0036503,To Self Account,3865.26,2024-10-28,Successful,Successful
MTX_A2DB3DEE7FF0,PP0029514,To Self Account,2658.24,2024-03-29,Successful,Successful
MTX_074911A527B0,PP0014560,To Self Account,4154.39,2024-09-09,Successful,Successful
MTX_6D72E70F47F7,PP1078517,To UPI ID,1057.03,2024-11-03,Successful,Successful
MTX_F4D978872C95,PP1071869,To QR Code,4594.41,2024-10-14,Successful,Successful
MTX_633B57EC39B4,PP1079951,To Self Account,4070.22,2024-12-10,Successful,Successful
MTX_9D29074B7D79,PP0035248,To QR Code,1803.99,2024-08-20,Successful,Successful
MTX_F13324A2255D,PP0026759,To UPI ID,4196.95,2024-07-10,Successful,Successful
MTX_9C1B16BEC9D0,PP0004299,To UPI ID,477.4,2024-04-27,Successful,Successful
MTX_0D5E08A9E7ED,PP1091780,To Mobile Number,883.92,2024-10-16,Successful,Successful
MTX_97C1F77856E2,PP1061148,To Mobile Number,344.81,2024-02-05,Successful,Successful
MTX_FBFA287F87E2,PP1100962,To Self Account,4596.42,2024-10-05,Successful,Successful
MTX_4665DDAD05A4,PP1052398,To Self Account,2079.35,2024-09-29,Successful,Successful
MTX_B6D8F2221493,PP1051726,To UPI ID,2847.16,2024-12-13,Successful,Successful
MTX_6FF8B8ED1A65,PP1070136,To QR Code,844.67,2024-07-22,Successful,Successful
MTX_85283BACB0C1,PP1103319,To Mobile Number,3381,2024-04-16,Successful,Successful
MTX_C51A780D7838,PP1100418,To QR Code,2036.93,2024-02-21,Successful,Successful
MTX_420920C03E62,PP1094829,To QR Code,2929.98,2024-01-12,Failed,Server error
MTX_28FCF0DA6812,PP1103627,To UPI ID,3219.15,2024-04-13,Successful,Successful
MTX_03F70D6C2C9A,PP0032310,To QR Code,631.98,2024-03-14,Successful,Successful
MTX_2B82A4293828,PP1099098,To Self Account,1382.74,2024-07-14,Successful,Successful
MTX_152574A59F2F,PP1070775,To QR Code,3762.9,2024-02-08,Successful,Successful
MTX_9E357878FDCD,PP0039895,To Self Account,3354.57,2024-04-21,Failed,Server error
MTX_589268ED104A,PP1053686,To Self Account,1609.58,2024-10-08,Successful,Successful
MTX_AE0A97C84A7C,PP1096096,To Self Account,501.51,2024-03-20,Successful,Successful
MTX_BB0BD9F3D5CC,PP1095643,To QR Code,3061.91,2024-04-21,Successful,Successful
MTX_3EAB0AB10C17,PP1070742,To Mobile Number,744.6,2024-02-11,Successful,Successful
MTX_3C8F1DBA0BD0,PP1055162,To Mobile Number,4622.44,2024-08-19,Successful,Successful
MTX_561732E3FAA9,PP0024483,To Mobile Number,2301.03,2024-05-08,Successful,Successful
MTX_2706749365C9,PP1100785,To QR Code,445.67,2024-02-11,Successful,Successful
MTX_3E2753E55495,PP1056227,To UPI ID,1768.63,2024-08-22,Successful,Successful
MTX_834416D413A9,PP0045285,To UPI ID,3524.27,2024-11-16,Successful,Successful
MTX_D756028B82C5,PP1077715,To UPI ID,2809.44,2024-04-28,Successful,Successful
MTX_80EDABFB8042,PP0000342,To Self Account,722.53,2024-12-01,Successful,Successful
MTX_DF4FCAE48293,PP1085754,To UPI ID,154.47,2024-03-13,Successful,Successful
MTX_4F830A199ABD,PP1059647,To Self Account,1073.61,2024-07-30,Successful,Successful
MTX_B2E68EC22C10,PP1059961,To QR Code,2839.94,2024-01-15,Successful,Successful
MTX_FD7BB02CD811,PP0020261,To QR Code,944.58,2024-01-21,Successful,Successful
MTX_FD9CA834DA8E,PP1104925,To QR Code,1458.98,2024-10-21,Failed,Insufficient amount
MTX_068CF2511BF2,PP1072039,To UPI ID,2532.56,2024-02-06,Successful,Successful
MTX_06D276EACC69,PP1102904,To QR Code,1552.96,2024-03-18,Successful,Successful
MTX_A81ACCCC461B,PP0043801,To Self Account,247.23,2024-06-23,Successful,Successful
MTX_CC60CD0716E5,PP1050392,To Self Account,2246.89,2024-06-29,Successful,Successful
MTX_0E0D3A46F5F9,PP1104332,To Self Account,4823.94,2024-08-06,Successful,Successful
MTX_77A8FB57C7B5,PP1062249,To UPI ID,2234.06,2024-06-12,Successful,Successful
MTX_7C6FF0196673,PP0032132,To UPI ID,359.92,2024-03-15,Successful,Successful
MTX_F816643C9D9B,PP1079463,To Self Account,4105.29,2024-05-13,Successful,Successful
MTX_C14E16D2DF71,PP1057174,To Mobile Number,922.44,2024-10-03,Successful,Successful
MTX_1C74618F6785,PP0041563,To QR Code,4089.87,2024-01-08,Successful,Successful
MTX_B55A10FC55E5,PP1049331,To UPI ID,1174.18,2024-09-24,Successful,Successful
MTX_6D1F4C764682,PP0041753,To Self Account,4132.65,2024-02-18,Successful,Successful
MTX_B53722AE98C2,PP1077963,To Mobile Number,1265.5,2024-05-28,Successful,Successful
MTX_BD946CFD8193,PP1094463,To UPI ID,4641.71,2024-05-23,Successful,Successful
MTX_775A34CB18DD,PP1079066,To Self Account,3670.03,2024-07-29,Successful,Successful
MTX_868E62E4470B,PP1107089,To Mobile Number,4266.77,2024-08-27,Successful,Successful
MTX_733966122969,PP1071512,To Mobile Number,994.09,2024-07-22,Successful,Successful
MTX_34B85C05ADAC,PP0025974,To Self Account,3477.13,2024-08-15,Failed,Insufficient amount
MTX_9CE595CB3F3E,PP0001219,To QR Code,2796.91,2024-07-31,Successful,Successful
MTX_B99FA6097DFE,PP0021203,To UPI ID,3382.11,2024-11-22,Successful,Successful
MTX_FBF14C4346E4,PP1058036,To Self Account,4822.78,2024-04-11,Successful,Successful
MTX_E260F79E2793,PP0046089,To QR Code,344.58,2024-06-02,Successful,Successful
MTX_DDAE9E6443AE,PP0001683,To QR Code,233.61,2024-03-16,Successful,Successful
MTX_1AF34644E9A5,PP1060489,To Self Account,1055.23,2024-08-24,Successful,Successful
MTX_8D4A9A733D40,PP1052664,To QR Code,4250.63,2024-09-06,Successful,Successful
MTX_BF14DC3C9230,PP0013157,To Mobile Number,4644.35,2024-12-25,Successful,Successful
MTX_84F2BBAC9FE3,PP1050790,To Mobile Number,3230.29,2024-05-09,Successful,Successful
MTX_10C6CED4128E,PP0046390,To Mobile Number,1401.02,2024-01-16,Successful,Successful
MTX_7E339E9B5CB2,PP1096591,To QR Code,1759.95,2024-01-15,Successful,Successful
MTX_D9493C31C191,PP0046540,To UPI ID,162.36,2024-12-08,Successful,Successful
MTX_7A669D975566,PP1066667,To Mobile Number,4171.2,2024-02-27,Successful,Successful
MTX_9C2464AB68CF,PP0016664,To Self Account,3444.95,2024-11-16,Successful,Successful
MTX_BD1EEB3ABE08,PP0007112,To Mobile Number,1446.68,2024-01-18,Successful,Successful
MTX_D1AE7D50EC67,PP0011131,To UPI ID,2175.24,2024-12-14,Successful,Successful
MTX_401B984E0DFE,PP0018859,To Self Account,190.83,2024-02-24,Successful,Successful
MTX_395A2F1968FA,PP1062261,To Mobile Number,1466.09,2024-12-05,Successful,Successful
MTX_4C87CFA306B6,PP0019390,To QR Code,2409.27,2024-12-07,Successful,Successful
MTX_EF29AA87657D,PP1100913,To UPI ID,2694.89,2024-03-19,Successful,Successful
MTX_E592B4EA2308,PP0011911,To UPI ID,382.57,2024-01-13,Successful,Successful
MTX_5D1323E4C799,PP0024617,To Mobile Number,2845.22,2024-10-12,Successful,Successful
MTX_9DB129E8CD7D,PP0003321,To Mobile Number,251.73,2024-08-29,Successful,Successful
MTX_8919070EA367,PP1090500,To QR Code,3529.35,2024-08-21,Successful,Successful
MTX_9E19524AF2C2,PP1063176,To QR Code,4136.6,2024-12-22,Successful,Successful
MTX_5F80A8A06EE0,PP1060698,To Mobile Number,1792.22,2024-03-07,Successful,Successful
MTX_5CCAA130F9B8,PP1087367,To QR Code,730.88,2024-09-23,Successful,Successful
MTX_284B3F7BA89C,PP1071287,To QR Code,3176.08,2024-07-27,Successful,Successful
MTX_AFF10A8BB0DC,PP0018862,To Self Account,4974.47,2024-01-23,Successful,Successful
MTX_259E21164086,PP0040983,To UPI ID,4880.1,2024-09-05,Successful,Successful
MTX_57B76DD1828B,PP1077850,To Mobile Number,1890.81,2024-01-07,Successful,Successful
MTX_EADABED0CD88,PP0001449,To Mobile Number,3963.95,2024-08-27,Successful,Successful
MTX_050B8495042B,PP1091324,To UPI ID,3346.96,2024-04-06,Successful,Successful
MTX_852A307A6776,PP1084983,To QR Code,98.32,2024-07-11,Successful,Successful
MTX_C9E4A6B5E30E,PP0006378,To Mobile Number,291.52,2024-01-24,Successful,Successful
MTX_5E6E80944E47,PP1076024,To Mobile Number,3454.92,2024-08-11,Successful,Successful
MTX_DD4B0B69EB4D,PP0019029,To Mobile Number,3829.14,2024-02-03,Successful,Successful
MTX_311119E8AD26,PP1080898,To QR Code,4289.8,2024-12-26,Successful,Successful
MTX_81CB2E645696,PP1101495,To Mobile Number,1991.54,2024-10-08,Successful,Successful
MTX_7919459499FA,PP1050468,To UPI ID,2522.98,2024-09-23,Successful,Successful
MTX_E47AC4C7E2E6,PP0006087,To UPI ID,2143.51,2024-05-10,Successful,Successful
MTX_3CFC10EA2FC2,PP1067022,To UPI ID,3620.65,2024-05-03,Successful,Successful
MTX_017E89C0B17C,PP0034841,To UPI ID,4137.66,2024-04-25,Successful,Successful
MTX_553DC03371B9,PP0006820,To Self Account,4637.57,2024-06-22,Successful,Successful
MTX_1A61DAD8D6CA,PP0013811,To UPI ID,2184.81,2024-01-24,Successful,Successful
MTX_26156BEA793D,PP1097839,To Mobile Number,3782.25,2024-02-15,Successful,Successful
MTX_0C27EB98DFB3,PP1053096,To Mobile Number,2991.09,2024-02-07,Successful,Successful
MTX_1D547C362DFE,PP0033920,To Mobile Number,1818.52,2024-05-17,Successful,Successful
MTX_7D110334BC2D,PP1050391,To Mobile Number,349.48,2024-06-16,Successful,Successful
MTX_B74AB9912C0D,PP0039836,To Mobile Number,3862.06,2024-08-07,Successful,Successful
MTX_A091B8771B76,PP0041484,To Mobile Number,1465.28,2024-03-03,Successful,Successful
MTX_18AFF95D974E,PP0031641,To Mobile Number,380.73,2024-08-24,Successful,Successful
MTX_5686AD4A8B10,PP1071435,To UPI ID,1822.13,2024-05-12,Successful,Successful
MTX_753C712BF864,PP0036901,To Mobile Number,3585.01,2024-12-10,Successful,Successful
MTX_08CD37C5B529,PP0025015,To UPI ID,1223.46,2024-01-20,Successful,Successful
MTX_97602DF5D4A0,PP0046661,To Self Account,1805.63,2024-04-08,Successful,Successful
MTX_17B67887A45A,PP0003893,To Self Account,2625.92,2024-08-07,Successful,Successful
MTX_A733C5CBD69A,PP1086758,To QR Code,2704.64,2024-05-15,Successful,Successful
MTX_7797B3E465F3,PP1105535,To QR Code,4737.23,2024-06-18,Successful,Successful
MTX_9E9AFB1C5F7A,PP0022437,To QR Code,1262.53,2024-01-07,Successful,Successful
MTX_9D99AB80C54F,PP0024208,To Mobile Number,3116.81,2024-01-01,Successful,Successful
MTX_0EAE8D12962E,PP0024266,To UPI ID,2510.47,2024-01-07,Successful,Successful
MTX_86723F3FF694,PP0017877,To UPI ID,4063.9,2024-07-05,Successful,Successful
MTX_85FBB186DD90,PP0007646,To Self Account,2495.42,2024-12-12,Successful,Successful
MTX_05B666F3549D,PP0008818,To Mobile Number,524.76,2024-03-09,Successful,Successful
MTX_B0EAFB4FDA49,PP1066885,To QR Code,1951.41,2024-09-24,Successful,Successful
MTX_5EAB09C7BEF5,PP1089499,To UPI ID,1030.91,2024-08-15,Successful,Successful
MTX_46DCA41262C5,PP0044603,To Self Account,96.52,2024-01-28,Successful,Successful
MTX_323B46B47B09,PP1066329,To UPI ID,648.98,2024-08-02,Successful,Successful
MTX_66B7D452352C,PP0003366,To Mobile Number,877.56,2024-04-14,Successful,Successful
MTX_D1538B8DC725,PP1051814,To Mobile Number,1934.49,2024-11-25,Successful,Successful
MTX_E18BFBCB4BD0,PP0019411,To UPI ID,957.79,2024-10-28,Successful,Successful
MTX_785FE4B2F1AA,PP0033874,To Self Account,3225.94,2024-06-06,Successful,Successful
MTX_40F9DDDA6682,PP0025083,To Self Account,1628.74,2024-07-16,Successful,Successful
MTX_29DB5F7DC382,PP1090376,To Mobile Number,1010.9,2024-11-24,Successful,Successful
MTX_C26E60D15B3E,PP0031047,To UPI ID,3558.29,2024-09-20,Successful,Successful
MTX_49F0DC518A32,PP1074228,To Mobile Number,3323.5,2024-01-28,Successful,Successful
MTX_F06771E6BB37,PP0048835,To Self Account,3248.36,2024-08-21,Successful,Successful
MTX_F7548B5E7904,PP1068515,To Self Account,2757.79,2024-05-22,Successful,Successful
MTX_20CE370C64C8,PP1076224,To UPI ID,4268.78,2024-12-10,Failed,Insufficient amount
MTX_65BDA2A31285,PP0022748,To QR Code,1145.72,2024-03-20,Successful,Successful
MTX_C2CC3543DA8E,PP1083559,To Self Account,2170.04,2024-06-14,Failed,Server error
MTX_0CB68DB08E13,PP1100161,To Self Account,1707.8,2024-10-05,Successful,Successful
MTX_8A440471B351,PP1106257,To QR Code,4288.01,2024-09-10,Successful,Successful
MTX_5D34CFF4547A,PP1072413,To Self Account,3700.44,2024-07-19,Successful,Successful
MTX_CB17A868488A,PP0007972,To QR Code,446.32,2024-10-31,Successful,Successful
MTX_D9B7FA322BD2,PP0024434,To Self Account,1764.81,2024-04-08,Successful,Successful
MTX_6646E4B5478C,PP1096815,To QR Code,3296.71,2024-05-17,Successful,Successful
MTX_F089790642D2,PP1093028,To Mobile Number,2349.08,2024-02-13,Successful,Successful
MTX_6D201017ADA5,PP1075275,To UPI ID,4064.54,2024-05-30,Successful,Successful
MTX_E2003D109174,PP0005945,To UPI ID,4152.66,2024-11-06,Successful,Successful
MTX_650B12F06A2C,PP1078328,To QR Code,4793.45,2024-01-22,Successful,Successful
MTX_05DCDBD2669A,PP1072290,To Mobile Number,1494.79,2024-04-18,Successful,Successful
MTX_DFB3C8DD2ADF,PP0041535,To QR Code,2488.29,2024-02-03,Successful,Successful
MTX_DC0C1FC19609,PP0032128,To Mobile Number,124.68,2024-06-12,Successful,Successful
MTX_E7970A22CD9F,PP1106834,To QR Code,4685.08,2024-11-05,Successful,Successful
MTX_CE4807D9B316,PP0006143,To Self Account,464.78,2024-04-11,Successful,Successful
MTX_ADEFB3CB72B4,PP0017502,To UPI ID,1602.39,2024-12-14,Successful,Successful
MTX_9658B766C366,PP0032297,To Mobile Number,3050.54,2024-10-04,Successful,Successful
MTX_C46EAFD85A99,PP0018870,To Mobile Number,3793.2,2024-08-19,Successful,Successful
MTX_BFB608E0EF26,PP0045302,To Self Account,2264.12,2024-05-20,Successful,Successful
MTX_AF19D77F65C7,PP1094919,To Mobile Number,3388.78,2024-05-06,Successful,Successful
MTX_AD2EA2AB752D,PP0002598,To Self Account,2437.51,2024-11-27,Successful,Successful
MTX_8F6AE32B0920,PP0033742,To Mobile Number,2184.34,2024-07-27,Successful,Successful
MTX_667399019FB0,PP1065663,To Mobile Number,3074.93,2024-03-13,Successful,Successful
MTX_D41881F2CB62,PP0023286,To QR Code,1213.86,2024-07-10,Successful,Successful
MTX_7D6C9E370CB7,PP0045562,To Mobile Number,443.62,2024-11-02,Successful,Successful
MTX_5D9A897F0656,PP1065664,To UPI ID,2985.43,2024-10-18,Successful,Successful
MTX_54067958F63B,PP1085033,To Mobile Number,3266.59,2024-09-18,Successful,Successful
MTX_CE04A94F1741,PP0033803,To QR Code,861.77,2024-07-30,Successful,Successful
MTX_DD01D619E7C1,PP1062493,To QR Code,1472.95,2024-02-16,Successful,Successful
MTX_9F7119AC35F2,PP1055350,To UPI ID,3506.56,2024-03-08,Successful,Successful
MTX_42FF616DB688,PP1100262,To Self Account,3996.33,2024-08-14,Successful,Successful
MTX_97E45BA1FEFE,PP0042507,To Self Account,2324.19,2024-03-03,Failed,Wrong PIN
MTX_9A6892C8EA5B,PP0048682,To Self Account,245.3,2024-12-19,Successful,Successful
MTX_EEB78BC9B654,PP0020862,To QR Code,3092.51,2024-03-24,Successful,Successful
MTX_58306C1FA191,PP1074865,To Self Account,3981.52,2024-01-07,Successful,Successful
MTX_202BC164F717,PP1075399,To Mobile Number,656.75,2024-05-05,Successful,Successful
MTX_9F4A5C1372C5,PP0025582,To UPI ID,1959.08,2024-12-19,Successful,Successful
MTX_038CC1EAA201,PP1066886,To Mobile Number,2157.4,2024-01-19,Successful,Successful
MTX_C353AC3773B4,PP1088934,To UPI ID,1470.88,2024-12-26,Successful,Successful
MTX_B3674F89ABF0,PP1061007,To Mobile Number,4417.55,2024-11-11,Successful,Successful
MTX_E7CB4B6328B4,PP0020627,To Mobile Number,4867.01,2024-07-15,Successful,Successful
MTX_D82DB077B58E,PP1070400,To Mobile Number,3626.75,2024-07-09,Successful,Successful
MTX_42DD08F006C0,PP0048872,To Mobile Number,3126.07,2024-06-13,Successful,Successful
MTX_41969FB1EF23,PP1085238,To UPI ID,62.23,2024-10-13,Successful,Successful
MTX_5B965ECDCD72,PP1100649,To QR Code,3366.58,2024-10-17,Successful,Successful
MTX_AE73548774C5,PP1062463,To Self Account,4849.81,2024-12-27,Successful,Successful
MTX_86A77C8BE447,PP1049388,To UPI ID,3745.89,2024-06-07,Successful,Successful
MTX_DFCBAFF6112A,PP0001705,To Mobile Number,2894.23,2024-01-29,Successful,Successful
MTX_1F7C19A3A624,PP1072675,To UPI ID,1631.33,2024-12-24,Successful,Successful
MTX_C3478BB6A7D5,PP1051266,To Mobile Number,486.56,2024-10-02,Successful,Successful
MTX_F289AFEC5121,PP0042483,To QR Code,2131.07,2024-05-06,Successful,Successful
MTX_5F05AEE08B8A,PP1085324,To QR Code,836.79,2024-03-10,Successful,Successful
MTX_D7A0185BE775,PP1056488,To QR Code,3894.84,2024-03-05,Successful,Successful
MTX_08217C365F3C,PP0031837,To QR Code,3491.91,2024-05-06,Successful,Successful
MTX_AD6A0E819614,PP1071037,To QR Code,2887.47,2024-07-28,Successful,Successful
MTX_5A60D17EA32A,PP0049002,To QR Code,4422.18,2024-03-20,Successful,Successful
MTX_22867FDD1BF7,PP1057404,To Self Account,917.21,2024-09-07,Successful,Successful
MTX_FE3B4C14339D,PP1091342,To UPI ID,3768.61,2024-12-11,Successful,Successful
MTX_D67E7DBDF753,PP0026267,To UPI ID,3477.32,2024-03-31,Successful,Successful
MTX_303E507F9D78,PP0005765,To UPI ID,773.36,2024-04-26,Successful,Successful
MTX_6908B4F19F08,PP1052935,To UPI ID,745.46,2024-06-30,Successful,Successful
MTX_A18BE332512F,PP0037331,To UPI ID,2031.65,2024-01-30,Successful,Successful
MTX_9261C88E816C,PP0042757,To QR Code,2171.35,2024-01-29,Successful,Successful
MTX_BEE2A0B2F3A3,PP0037219,To Mobile Number,1890.02,2024-03-16,Successful,Successful
MTX_A4F8EB4C1B3B,PP0000678,To Self Account,4134.71,2024-05-25,Successful,Successful
MTX_1E5D25CDE88B,PP0036937,To Mobile Number,2011.6,2024-08-04,Successful,Successful
MTX_ED94E3D3F0F1,PP1074314,To Mobile Number,671.55,2024-09-09,Successful,Successful
MTX_DC9BD39AEEE8,PP0004517,To Mobile Number,1595.9,2024-07-28,Successful,Successful
MTX_020E0473F9EE,PP0028304,To QR Code,4531.6,2024-05-25,Successful,Successful
MTX_ADCD3623C3AC,PP1093258,To Self Account,1383.13,2024-11-24,Successful,Successful
MTX_F45E468B2D2E,PP1058516,To Mobile Number,3110.09,2024-12-20,Successful,Successful
MTX_8A92F30B4F42,PP1049513,To QR Code,1297.69,2024-10-01,Successful,Successful
MTX_D8700A1E8AE5,PP1063860,To UPI ID,1927.79,2024-05-07,Successful,Successful
MTX_15DFD263B3A9,PP1074827,To Mobile Number,4523.45,2024-05-07,Successful,Successful
MTX_E37896B979B4,PP0027193,To Mobile Number,4334.64,2024-05-04,Successful,Successful
MTX_D071FA26685E,PP1050740,To QR Code,3154.89,2024-10-02,Successful,Successful
MTX_43CAE6DDE490,PP0031000,To Self Account,1218.42,2024-03-14,Successful,Successful
MTX_884DFB46A619,PP0023808,To QR Code,4502.55,2024-08-25,Successful,Successful
MTX_22A0DF7FC03A,PP1061553,To UPI ID,4977.58,2024-02-28,Successful,Successful
MTX_07738E076539,PP1061897,To Mobile Number,1367.26,2024-02-26,Successful,Successful
MTX_F5C86714CC19,PP0011366,To UPI ID,4334.43,2024-05-26,Successful,Successful
MTX_6E0390A6FB24,PP1082112,To Self Account,1178.29,2024-04-11,Successful,Successful
MTX_DD0EA19A7D31,PP1095000,To Mobile Number,3389.11,2024-01-04,Successful,Successful
MTX_8DE49215BAFD,PP1084954,To UPI ID,1023.32,2024-04-01,Successful,Successful
MTX_0DFCB70AADC8,PP0002790,To QR Code,3708.42,2024-12-27,Successful,Successful
MTX_6E6625990964,PP0030611,To Mobile Number,2955.56,2024-09-14,Failed,Wrong PIN
MTX_D63C2C16F47F,PP1099146,To UPI ID,2790.82,2024-08-11,Successful,Successful
MTX_B6BB3994162C,PP1071652,To Mobile Number,4696.53,2024-08-03,Successful,Successful
MTX_919C953C2C05,PP1061661,To UPI ID,1936.6,2024-08-23,Successful,Successful
MTX_156227AF4AF1,PP1085193,To UPI ID,1357.64,2024-03-14,Successful,Successful
MTX_5E3A755C89D0,PP0001055,To Mobile Number,2021.44,2024-03-08,Successful,Successful
MTX_FF49813391F8,PP0017664,To Mobile Number,2734.89,2024-11-08,Successful,Successful
MTX_2E24EBC1F412,PP0031709,To Mobile Number,338.45,2024-04-30,Successful,Successful
MTX_B2092FECE641,PP1057408,To QR Code,4678.78,2024-01-06,Successful,Successful
MTX_BA3C8B892E99,PP0034593,To Self Account,4925.8,2024-01-17,Successful,Successful
MTX_0A9E9176AB35,PP1092478,To Self Account,4052.68,2024-06-13,Successful,Successful
MTX_10BC10CE683F,PP0034293,To UPI ID,3235.51,2024-02-28,Successful,Successful
MTX_D36125707C7D,PP0026794,To QR Code,2546.97,2024-01-24,Successful,Successful
MTX_5A99B7B6566D,PP1074164,To QR Code,805.88,2024-09-17,Successful,Successful
MTX_C9A8B6AFFFB2,PP1070250,To Mobile Number,3810.73,2024-08-21,Successful,Successful
MTX_619BDDDBFBDF,PP0042776,To Mobile Number,1362.04,2024-09-27,Successful,Successful
MTX_831B5B36A283,PP0012708,To QR Code,1560.22,2024-06-30,Successful,Successful
MTX_CF6F6D659F89,PP1072088,To Mobile Number,1662.88,2024-03-17,Successful,Successful
MTX_287B862D55E7,PP1075170,To Mobile Number,1687.34,2024-08-27,Successful,Successful
MTX_DA0EE255F65C,PP1105265,To Mobile Number,4259.38,2024-10-24,Successful,Successful
MTX_892A3A280B4F,PP1062430,To Mobile Number,1509.54,2024-03-09,Successful,Successful
MTX_687613322228,PP0025994,To Mobile Number,453.16,2024-12-14,Successful,Successful
MTX_FF5540D2D7AC,PP1106109,To QR Code,4709.68,2024-02-12,Successful,Successful
MTX_5FB4465B9DBD,PP1087085,To Mobile Number,4734.95,2024-07-21,Successful,Successful
MTX_DFC31352B11A,PP1103778,To UPI ID,1067.96,2024-03-23,Successful,Successful
MTX_1C8A789E8F60,PP1060122,To QR Code,4653.14,2024-10-18,Successful,Successful
MTX_56664CDE213D,PP0041639,To Mobile Number,592.86,2024-02-05,Successful,Successful
MTX_73839AAA6B60,PP1070611,To UPI ID,4361.08,2024-04-25,Successful,Successful
MTX_18BFED5E78A2,PP0016046,To Mobile Number,823.49,2024-01-12,Successful,Successful
MTX_C2BF6A3141A5,PP0010104,To Mobile Number,2782.39,2024-12-23,Successful,Successful
MTX_2CCE0482065D,PP0019779,To Mobile Number,222.59,2024-07-06,Successful,Successful
MTX_55E005FE1EC9,PP0035235,To UPI ID,1037.44,2024-04-25,Failed,Server error
MTX_61C3BCEF43C9,PP0042009,To Self Account,3651.75,2024-06-29,Successful,Successful
MTX_39AC7EFB608A,PP0013415,To Self Account,3855.78,2024-01-29,Successful,Successful
MTX_3A531A399B6A,PP1066425,To UPI ID,482.85,2024-07-21,Successful,Successful
MTX_7834CE956963,PP0038885,To Self Account,1148.85,2024-02-16,Successful,Successful
MTX_62B261D98450,PP0013641,To Self Account,1916.96,2024-05-12,Successful,Successful
MTX_02FBF9C59255,PP1060092,To Mobile Number,2248.51,2024-09-04,Failed,Server error
MTX_1BBFD7A75EFF,PP1095326,To Self Account,4665.29,2024-04-18,Successful,Successful
